;Father -20;Father 20-24;Father 25-29;Father 30-34;Father 35-39;Father 40-44;Father 45-49;Father 50-54;Father 55-59;Father +60;Father +55
Mother -20;2085;9723;1771;648;179;70;29;10;6;1;7
Mother 20-24;870;30070;48288;13785;4369;1631;587;192;80;33;113
Mother 25-29;133;7967;104614;95055;26259;8826;2927;949;367;132;499
Mother 30-34;38;1432;21921;131262;82027;24140;7296;2340;795;340;1135
Mother 35-39;17;394;3619;20674;61468;35506;10681;3571;1196;479;1675
Mother 40-44;1;110;701;2685;7279;16046;7541;2560;855;343;1198
Mother 45-49;0;4;27;139;266;542;860;377;145;49;194
Mother 50-60;0;0;2;8;9;16;24;38;27;4;31
Mother +45;0;4;29;147;275;558;884;415;172;53;225
