;Astrid1;Mathilde1;Cervin1;Simon1;Pauline1;Pierre1;Mathieu1;JC1;Florianne1;Franck1;Léo1;Claire1;Solène1;Chloé1;Clémence1;Estelle1;Elina1;Anne1;Capellazzo1;Korentin1;Astrid2;Capellazzo2;Korentin2;Simon2;Pauline2;Solène2;Cervin2;Pierre2;Florianne2;Franck2;Marina1;Marina2;Léo2;Claire2;Estelle2;Anne2;Elina2;JC2;Clémence2;Mathieu2;Chloé3;Mathilde2
Jadore;sucré doux frais;frais fruité;Gr1;léger dous;fruité;encens;fleur;boisé;léger frais;sucré;savon lessive fraîcheur propreté;caramélisé mûr;fleuri;fleuri léger frais;doux léger sucré savon;fruité doux naturel jeune;masculin boisé prononcé;femme_mûre;fruité;produits_beauté;acide fort;toilettes;marin;chimique;savon;fruité frais;Gr2;Gr1;acidulé fruité;doux;doux;doux;savon lessive;mûr;fort caractériel femme_adulte;jeune sucré fruité féminin;doux féminin léger;tranquilité;dynamique frais marin;fleur;fleuri léger frais;fruité frais pour_jeune
Trésor;mentholé plante fade;entêtant puissant;Gr2;propre chimique;fruité;désinfectant;fort;vanillé;vanillé fleuri;sucré;fenouil;jeune sucré;frais fruité;musqué fort typé;désagréable désodorisant;fruité doux naturel jeune;masculin boisé prononcé;masculin boisé viril;fétide pourriture moisi;produits_beauté;mentholé plante;toilettes;boisé épicé;chimique;fruité;fleuri;Gr2;imposant;frais léger;doux;étrange;étrange;épicé;mauvais;fleuri jeune naturel doux;vieux classe féminin;doux féminin léger;eau_de_parfum;fort mauvais;fort;musqué;puissant entêtant pour_vieille
Coco mademoiselle;acide fort;frais fruité;Gr1;enivrant sucré agréable;savon;sucré;été fruité;boisé;léger frais;fleuri;floral sucré;intermédiaire;frais fruité;ambré poivré fort;marin dynamisme;fort adulte caractériel;doux fruité féminin;masculin savon after_shave homme_agé;masculin;marin;acide fort;masculin;pautréz;enivrant;fruité;fruité frais;Gr2;Gr1;acidulé fruité;sucré;étrange;fort;floral;mûr;fort caractériel femme_adulte;masculin savon after_shave;masculin plus_prononcé;fraise;dynamique frais marin;fruité été;ambré poivré;fruité frais pour_jeune
La petite robe noire;sucré doux frais;entêtant puissant;Gr3;enivrant sucré agréable;musqué;encens;Gr1;fruité;vanillé fleuri;fleuri;fruité fruits_exotiques réglisse sucré;caramélisé mûr;fleuri;frais savon;grand-mère;faible discret frais enfantin douc fleur;doux fruité féminin;féminin savon;fruité;fruité;sucré doux;fruité;fruité;enivrant;musqué;fleuri;Gr4;Gr2;acidulé fruité;sucré;fort;doux;fruité sucré;fort;chimique syntéhtique artificiel médicament;savon mixte peu_intense;doux féminin léger;tranquilité;doux savon;fort;savon rond frais;puissant entêtant pour_vieille
Angel;mentholé plante fade;frais fruité;Gr3;doux;musqué;désinfectant;fleur;transport_public;vanillé fleuri;doux;floral sucré;jeune sucré;boisé;ambré poivré fort;cire abeille;fruité doux naturel jeune;puissant désagréable;masculin boisé viril;fruité;fruité;mentholé plante;fruité;pautréz;frais;musqué;boisé fort;Gr4;Gr2;fleuri;agrume;fort;étrange;fruité sucré;fort;chimique syntéhtique artificiel médicament;boisé masculin viril sauvage;puissant désagréable;bus;cire;fruité été;ambré poivré;fruité frais pour_jeune
Lolita Lempicka;sucré doux frais;entêtant puissant;Gr1;propre chimique;musqué;sucré;fort;boisé;vanillé fleuri;doux;floral sucré;caramélisé mûr;fort;frais savon;grand-mère;fort adulte caractériel;doux fruité féminin;adolescent fruité sucré;fétide pourriture moisi;produits_beauté;sucré doux;toilettes;pautréz;sucré;musqué;fleuri;Gr4;désinfectant;acidulé fruité;doux;étrange;doux;floral;mûr;fort caractériel femme_adulte;vieux classe féminin;doux féminin léger;eau_de_parfum;vieux poussière;fort;fleuri léger frais;puissant entêtant pour_vieille
Chanel_5;mentholé plante fade;entêtant puissant;Gr2;désagréble;savon;ancien;vieux;boisé;brut écoeurant;savon bain;savon lessive fraîcheur propreté;mauvais;savon;musqué fort typé;désagréable désodorisant;chimique synthétique médicament;puissant désagréable;masculin savon after_shave homme_agé;fétide pourriture moisi;épicé boisé;mentholé plante;toilettes;boisé épicé;puant;savon;savon;Gr1;ancien;brut fort;savon;doux;doux;savon lessive;mauvais;faible enfant doux nature;boisé masculin viril sauvage;puissant désagréable;eau_de_parfum;fort mauvais;vieux;musqué;puissant entêtant pour_vieille
Flower;acide fort;entêtant puissant;Gr1;doux;fruité;désinfectant;fleur;fruité;léger frais;savon bain;floral sucré;caramélisé mûr;fleuri;frais savon;doux léger sucré savon;fort adulte caractériel;masculin boisé prononcé;femme_mûre;fétide pourriture moisi;marin;acide fort;toilettes;marin;sucré;fruité;fleuri;Gr2;Gr1;frais léger;doux;doux;étrange;floral;fort;fleuri jeune naturel doux;jeune sucré fruité féminin;masculin plus_prononcé;fraise;vieux poussière;fleur;musqué;puissant entêtant pour_vieille
Amor amor;acide fort;frais fruité;Gr3;léger dous;fruité;désinfectant;été fruité;vanillé;léger frais;doux;fruité fruits_exotiques réglisse sucré;jeune sucré;fleuri;fleuri léger frais;marin dynamisme;chimique synthétique médicament;doux fruité féminin;adolescent fruité sucré;fétide pourriture moisi;fruité;acide fort;toilettes;fruité;frais;fruité;fruité frais;Gr4;désinfectant;frais léger;Gr1;doux;doux;fruité sucré;jeune sucré;fleuri jeune naturel doux;jeune sucré fruité féminin;masculin plus_prononcé;tranquilité;doux savon;fruité été;savon rond frais;fruité frais pour_jeune
Shalimar;mentholé plante fade;entêtant puissant;Gr2;frais;musqué;encens;fort;vanillé;brut écoeurant;agrume;fruité fruits_exotiques réglisse sucré;fort méditerranéen;boisé;ambré poivré fort;désagréable désodorisant;chimique synthétique médicament;puissant désagréable;masculin boisé viril;fétide pourriture moisi;épicé boisé;acide fort;toilettes;fruité;Gr1;musqué;boisé fort;Gr2;imposant;brut fort;agrume;étrange;étrange;épicé;méditerranéen;chimique syntéhtique artificiel médicament;masculin savon after_shave;puissant désagréable;fort;fort mauvais;fleur;ambré poivré;puissant entêtant pour_vieille
