;JANVIERp;FEVRIERp;MARSp;AVRILp;MAIp;JUINp;JUILLETp;AOUTp;SEPTEMBREp;OCTOBREp;NOVEMBREp;DECEMBREp;Précipitations annuelles;JANVIERnb.j.pl;FEVRIERnb.j.pl;MARSnb.j.pl;AVRILnb.j.pl;MAInb.j.pl;JUINnb.j.pl;JUILLETnb.j.pl;AOUTnb.j.pl;SEPTEMBREnb.j.pl;OCTOBREnb.j.pl;NOVEMBREnb.j.pl;DECEMBREnb.j.pl;Nombre annuel de jours de pluie;Température moyenne annuelle;Amplitude annuelle des températures;Insolation annuelle;Latitude;Longitude;Précipitations de mai à aout;Précipitations sept-oct;Géographie
Ajaccio;78.00;69.00;51.00;39.00;43.00;23.00;10.00;15.00;43.00;81.00;105.00;96.00;653.00;12.00;10.00;9.00;9.00;8.00;4.00;1.00;2.00;6.00;10.00;11.00;13.00;95.00;14.71;14.50;2811.00;41.55;8.44;13.90;25.80;Sud
Angers;65.00;50.00;60.00;45.00;50.00;55.00;35.00;60.00;55.00;65.00;80.00;70.00;690.00;16.00;13.00;12.00;12.00;13.00;10.00;11.00;11.00;12.00;13.00;15.00;16.00;154.00;11.28;14.50;1899.00;47.28;-0.33;29.00;30.80;Ouest
Angoulème;79.00;68.00;64.00;62.00;70.00;58.00;53.00;66.00;69.00;70.00;79.00;88.00;826.00;16.00;14.00;13.00;12.00;14.00;11.00;12.00;12.00;12.00;13.00;15.00;16.00;160.00;12.02;14.90;1989.00;45.39;0.09;29.90;31.00;Ouest
Besançon;94.00;87.00;75.00;74.00;86.00;107.00;80.00;116.00;106.00;78.00;92.00;93.00;1088.00;17.00;14.00;12.00;14.00;14.00;14.00;14.00;13.00;13.00;14.00;15.00;15.00;169.00;10.04;17.60;1897.00;47.15;6.02;35.80;35.50;Est
Biarritz;128.00;105.00;98.00;102.00;100.00;91.00;69.00;123.00;155.00;152.00;175.00;176.00;1474.00;16.00;14.00;13.00;15.00;17.00;14.00;13.00;13.00;14.00;15.00;16.00;17.00;177.00;13.58;12.30;1921.00;43.29;-1.34;26.00;36.80;Ouest
Bordeaux;100.00;84.00;66.00;57.00;64.00;71.00;52.00;65.00;88.00;84.00;99.00;117.00;947.00;16.00;13.00;13.00;13.00;14.00;11.00;11.00;12.00;13.00;14.00;15.00;17.00;162.00;13.33;15.40;2076.00;44.50;-0.34;26.60;31.30;Ouest
Brest;130.00;98.00;89.00;77.00;74.00;60.00;51.00;80.00;95.00;108.00;136.00;159.00;1157.00;22.00;16.00;15.00;15.00;14.00;13.00;14.00;15.00;16.00;19.00;20.00;22.00;201.00;10.77;10.20;1757.00;48.24;-4.29;22.90;28.20;Ouest
Caen;65.00;61.00;45.00;44.00;53.00;52.00;45.00;57.00;66.00;75.00;79.00;71.00;713.00;17.00;14.00;12.00;13.00;14.00;12.00;13.00;13.00;13.00;15.00;16.00;17.00;169.00;10.45;12.70;1777.00;49.11;-0.21;29.00;35.60;Nord
Clermont-Fd;28.00;27.00;30.00;41.00;78.00;79.00;48.00;70.00;58.00;43.00;39.00;30.00;571.00;12.00;11.00;9.00;12.00;12.00;12.00;9.00;10.00;10.00;11.00;12.00;12.00;132.00;10.94;16.80;1899.00;45.47;3.05;48.20;51.30;Est
Dijon;62.00;48.00;51.00;48.00;68.00;79.00;44.00;79.00;74.00;53.00;67.00;61.00;734.00;16.00;13.00;10.00;11.00;12.00;12.00;11.00;11.00;11.00;12.00;14.00;14.00;147.00;10.50;18.30;1934.00;47.19;5.01;36.80;37.10;Est
Embrun;61.00;55.00;55.00;48.00;47.00;63.00;41.00;65.00;60.00;60.00;81.00;62.00;698.00;9.00;9.00;8.00;9.00;11.00;10.00;7.00;8.00;8.00;9.00;10.00;10.00;108.00;9.49;18.40;2604.00;44.34;6.30;30.90;32.10;Sud
Grenoble;80.00;79.00;69.00;69.00;83.00;94.00;74.00;96.00;88.00;85.00;90.00;98.00;1005.00;14.00;11.00;11.00;12.00;14.00;11.00;10.00;11.00;11.00;12.00;13.00;14.00;144.00;10.98;18.60;2100.00;45.10;5.43;34.50;34.50;Est
Lille;45.00;43.00;38.00;37.00;45.00;57.00;62.00;64.00;53.00;56.00;56.00;56.00;612.00;18.00;14.00;13.00;14.00;13.00;12.00;13.00;13.00;14.00;14.00;16.00;17.00;171.00;9.73;14.70;1641.00;50.38;3.04;37.30;37.10;Nord
Limoges;87.00;75.00;68.00;69.00;72.00;71.00;56.00;73.00;87.00;72.00;82.00;98.00;910.00;17.00;14.00;13.00;13.00;14.00;12.00;12.00;12.00;12.00;14.00;15.00;17.00;165.00;10.59;15.30;1853.00;45.50;1.16;29.90;33.00;Ouest
Lyon;53.00;50.00;60.00;54.00;67.00;84.00;55.00;104.00;86.00;73.00;80.00;62.00;828.00;15.00;12.00;11.00;11.00;13.00;11.00;10.00;11.00;11.00;12.00;14.00;14.00;145.00;11.36;18.60;2036.00;45.45;4.51;37.40;42.10;Est
Marseille;36.00;49.00;40.00;35.00;38.00;33.00;13.00;27.00;65.00;67.00;69.00;61.00;533.00;8.00;6.00;7.00;6.00;7.00;4.00;2.00;4.00;6.00;8.00;8.00;10.00;76.00;14.23;17.80;2866.00;43.18;5.24;20.80;41.00;Sud
Montpellier;56.00;59.00;69.00;46.00;47.00;41.00;20.00;52.00;78.00;125.00;70.00;73.00;736.00;8.00;6.00;8.00;8.00;9.00;5.00;3.00;6.00;7.00;9.00;9.00;10.00;88.00;13.89;17.10;2709.00;43.36;3.53;21.70;44.90;Sud
Nancy;66.00;58.00;43.00;45.00;62.00;70.00;58.00;76.00;65.00;52.00;59.00;67.00;721.00;16.00;13.00;12.00;13.00;13.00;13.00;12.00;13.00;12.00;13.00;15.00;16.00;161.00;9.50;17.50;1633.00;48.41;6.12;36.90;33.90;Est
Nantes;83.00;65.00;53.00;48.00;54.00;52.00;42.00;66.00;80.00;77.00;95.00;94.00;809.00;18.00;14.00;14.00;11.00;13.00;11.00;12.00;12.00;14.00;15.00;16.00;18.00;168.00;11.69;13.80;1901.00;47.13;-1.33;26.50;33.60;Ouest
Nice;67.00;83.00;71.00;70.00;39.00;37.00;21.00;38.00;83.00;109.00;158.00;92.00;868.00;9.00;7.00;8.00;9.00;8.00;5.00;2.00;4.00;7.00;9.00;9.00;9.00;86.00;14.84;15.20;2779.00;43.42;7.15;15.60;33.10;Sud
Nîmes;52.00;53.00;57.00;45.00;50.00;40.00;25.00;40.00;75.00;100.00;83.00;60.00;680.00;8.00;6.00;9.00;8.00;9.00;6.00;4.00;6.00;7.00;9.00;10.00;10.00;92.00;14.18;17.90;2628.00;43.50;4.21;22.80;43.20;Sud
Orléans;57.00;48.00;43.00;46.00;52.00;54.00;47.00;54.00;51.00;54.00;61.00;54.00;621.00;16.00;13.00;12.00;12.00;13.00;11.00;11.00;12.00;12.00;13.00;15.00;16.00;156.00;10.53;15.70;1799.00;47.55;1.54;33.30;33.10;Ouest
Paris;53.00;48.00;40.00;45.00;53.00;57.00;54.00;61.00;54.00;50.00;58.00;51.00;624.00;17.00;14.00;12.00;13.00;12.00;12.00;12.00;13.00;13.00;13.00;15.00;16.00;162.00;11.18;15.70;1814.00;48.52;2.20;36.10;34.70;Nord
Perpignan;27.00;52.00;59.00;47.00;49.00;33.00;27.00;28.00;69.00;97.00;70.00;71.00;629.00;7.00;6.00;8.00;7.00;9.00;7.00;5.00;6.00;7.00;8.00;6.00;9.00;85.00;15.24;16.30;2603.00;42.41;2.53;21.80;44.10;Sud
Poitiers;65.00;58.00;56.00;49.00;55.00;55.00;46.00;59.00;52.00;61.00;78.00;68.00;702.00;16.00;13.00;13.00;12.00;14.00;11.00;10.00;11.00;12.00;12.00;15.00;16.00;155.00;11.28;15.10;2024.00;46.35;0.20;30.60;29.30;Ouest
Reims;43.00;44.00;42.00;37.00;52.00;53.00;47.00;58.00;54.00;43.00;52.00;50.00;575.00;17.00;15.00;12.00;13.00;13.00;13.00;12.00;13.00;12.00;13.00;16.00;16.00;165.00;10.06;16.40;1702.00;49.15;4.02;36.50;35.40;Est
Rennes;57.00;50.00;45.00;43.00;46.00;48.00;36.00;57.00;53.00;60.00;73.00;66.00;634.00;18.00;14.00;14.00;12.00;13.00;11.00;12.00;12.00;13.00;15.00;16.00;18.00;168.00;11.13;13.10;1835.00;48.05;-1.41;29.50;32.20;Ouest
Rouen;65.00;58.00;50.00;44.00;50.00;57.00;49.00;67.00;70.00;72.00;68.00;66.00;716.00;17.00;15.00;12.00;12.00;13.00;12.00;12.00;13.00;13.00;15.00;16.00;18.00;168.00;10.34;14.20;1694.00;49.26;1.05;31.10;37.50;Nord
St-Quentin;52.00;50.00;46.00;44.00;52.00;63.00;61.00;69.00;67.00;52.00;63.00;65.00;684.00;17.00;14.00;12.00;12.00;12.00;12.00;13.00;14.00;13.00;14.00;15.00;16.00;164.00;9.85;16.40;1661.00;49.51;3.17;35.80;36.30;Nord
Strasbourg;51.00;44.00;42.00;58.00;71.00;88.00;73.00;90.00;61.00;43.00;51.00;47.00;719.00;15.00;13.00;12.00;13.00;13.00;14.00;14.00;13.00;12.00;12.00;13.00;14.00;158.00;9.72;18.60;1696.00;48.35;7.45;44.80;37.40;Est
Toulon;76.00;86.00;82.00;60.00;49.00;35.00;12.00;31.00;77.00;105.00;117.00;107.00;837.00;9.00;6.00;8.00;7.00;7.00;4.00;2.00;4.00;5.00;9.00;9.00;11.00;81.00;15.28;14.00;2917.00;43.07;5.56;15.20;31.80;Sud
Toulouse;53.00;50.00;52.00;55.00;65.00;65.00;44.00;43.00;57.00;49.00;58.00;65.00;656.00;14.00;12.00;11.00;12.00;13.00;10.00;9.00;9.00;10.00;11.00;12.00;14.00;137.00;12.68;16.20;2081.00;43.36;1.26;33.10;32.40;Sud
Tours;63.00;55.00;52.00;51.00;53.00;58.00;47.00;60.00;60.00;55.00;68.00;65.00;687.00;16.00;13.00;12.00;12.00;13.00;11.00;11.00;12.00;13.00;13.00;15.00;16.00;157.00;11.22;15.60;1859.00;47.23;0.41;31.70;32.10;Ouest
Vichy;50.00;45.00;51.00;52.00;84.00;84.00;63.00;86.00;75.00;58.00;58.00;55.00;761.00;17.00;14.00;12.00;13.00;14.00;12.00;11.00;12.00;12.00;13.00;15.00;16.00;161.00;10.72;16.90;1873.00;46.08;3.26;41.70;42.00;Est
