Stations;Riviere/Affluent;Lieu;ph_j;cond_j;CaCO3_j;dure_j;HCO3_j;Cl_j;mes_j;mo_j;NO3_j;NH4_j;ph_s;cond_s;CaCO3_s;dure_s;HCO3_s;Cl_s;mes_s;mo_s;NO3_s;NH4_s
1;Riviere;amont;7.8;59;75;90;90;5;1.2;0.45;0.94;0;7.8;193;120;150;120;7.5;3.4;0.37;1.56;0
2;Riviere;amont;7.8;86;115;135;115;7.5;1.4;0.47;1.06;0;7.8;232;140;160;140;10;5.4;0.35;1.1;0
2.1;Affluent;amont;7.8;132;145;155;135;10;1;0.6;0.86;0.01;7.9;213;145;160;140;7.5;3.8;0.5;0.88;0
2.2;Affluent;amont;7.9;182;160;180;155;5;3.6;0.45;1.44;0.03;8;242;160;180;175;10;13;0.62;1.51;0
3;Riviere;amont;8.1;152;125;150;135;5;2;0.5;0.9;0;7.8;258;145;185;145;10;6.4;0.42;1.51;0
3.1;Affluent;amont;7.9;205;185;195;165;7.5;3.2;0.6;0.42;0.03;7.7;265;140;170;170;12.5;4.8;0.4;0.55;0
3.2;Affluent;amont;8;183;40;65;140;12.5;2.4;0.52;0.54;0.01;7.8;283;155;180;165;10;4;0.45;0.9;0.02
3.3;Affluent;amont;8.2;176;60;100;160;7.5;1.8;0.67;0.22;0;7.9;261;150;180;160;12.5;1.4;0.37;0.24;0
4;Riviere;amont;8;188;140;165;150;12.5;0.8;0.55;0.76;0;7.8;287;150;170;155;15;13;0.42;0.62;0.01
5;Riviere;milieu;8.1;211;145;175;150;12.5;2;0.47;0.76;0.02;7.8;345;180;200;200;10;2.2;0.22;2.48;0.02
5.1;Affluent;milieu;7.8;324;175;210;175;10;2.2;0.6;2.42;0;7.9;392;150;185;170;25;9.4;0.85;2.92;0
6;Riviere;milieu;8;251;195;235;155;10;1.6;0.65;1.62;0.04;7.7;423;170;200;175;15;1.8;0.47;2.06;0.03
6.1;Affluent;milieu;8;255;145;190;135;17.5;3.8;0.42;1.96;0;8;421;170;240;180;25;1.8;0.35;2.7;0
7;Riviere;milieu;7.8;341;155;180;165;12.5;2;0.6;2.3;0.02;8;382;175;200;180;20;1.2;0.3;2.3;0.02
7.1;Affluent;milieu;8;327;55;90;155;10;3.6;0.62;0.44;0.01;8.1;317;140;185;155;17.5;5.8;0.55;0.34;0
8;Riviere;milieu;8;323;145;180;155;15;5.2;0.7;1.48;0.04;8;318;170;205;180;17.5;5;0.6;2.13;0.02
8.1;Affluent;milieu;7.9;351;175;210;185;10;8.2;0.72;0.6;0;7.8;341;175;195;190;10;45;1.67;0.33;0.03
8.2;Affluent;milieu;7.9;530;200;275;190;17.5;0.2;0.37;5.52;0;8.1;395;140;180;170;32.5;49;1.07;2.32;0.05
9;Riviere;milieu;7.9;560;180;225;165;17;4;0.5;2.04;0.02;8.1;374;175;200;180;30;7;0.42;2.6;0.02
9.1;Affluent;milieu;8;381;180;230;190;12.5;6.4;0.72;0.54;0;8;420;233;285;220;25;52.2;2.4;1.26;0.04
9.2;Affluent;milieu;7.9;358;185;195;190;12.5;1.8;0.62;0.64;0;8.1;339;180;220;190;15;9.6;0.82;2.48;0
9.3;Affluent;milieu;7.9;448;200;225;190;12.5;1.2;0.5;1.8;0;8.1;369;200;220;205;15;9;1.52;1.47;0
10;Riviere;milieu;7.8;418;165;195;165;32.5;5.2;0.45;2;0.03;8.1;388;170;210;175;35;3.2;0.52;1.72;0
11;Riviere;aval;7.8;400;145;185;165;27.5;3.6;0.4;2.12;0.02;7.9;453;160;210;190;55;5.4;0.35;2.68;0
11.1;Affluent;aval;8;425;170;215;170;32.5;19;1;2.06;0.13;7.9;482;190;210;185;55;13.2;2.15;1.52;0.5
12;Riviere;aval;7.9;410;160;185;165;30;18.2;0.72;2.08;0.38;7.9;430;180;230;180;55;11.4;1.17;1.96;0.09
13;Riviere;aval;7.9;412;155;170;170;27.5;5;0.55;2.06;0.05;8;446;180;220;190;57.5;13;0.75;1.77;0.02
13.1;Affluent;aval;8;358;165;190;165;12.5;1.4;0.47;0.64;0;8.2;290;140;170;145;15;4;0.77;0.94;0
14;Riviere;aval;7.9;398;160;190;165;22.5;2.6;0.6;1.84;0.03;8;436;180;235;185;45;8.8;0.67;1.36;0
14.1;Affluent;aval;8.1;355;150;180;145;10;6.6;0.5;1.64;0.02;7.9;329;130;185;150;20;4.2;0.9;1.01;0
15;Riviere;aval;7.9;413;165;195;165;30;1.8;0.47;2.18;0.02;7.8;422;155;215;180;35;10;0.37;0.66;0
