;1S.Michaud;2S.Renaudie;3S.Trotignon;4S.Buisse;5S.BuisseCristal;6C.AubSilex;7C.AubMarigny;8C.FontDomaine;9C.FontBrûlés;10C.FontCoteaux;Somme
Fruité;1;5;5;3;4;0;1;4;3;1;27
Sucré, doux, liquoreux;0;1;1;0;0;11;1;2;1;1;18
Bois, boisé;1;0;0;0;2;0;7;0;1;5;16
Léger, souple;1;0;2;2;1;2;0;0;4;0;12
Acidité;1;0;1;2;1;0;2;1;2;1;11
Agrume;2;3;1;1;1;0;0;3;0;0;11
Jaune doré;2;0;0;1;0;1;2;1;2;2;11
Vif;2;3;0;1;3;1;1;0;0;0;11
Arômes fruités ;2;1;2;1;0;1;0;1;1;0;9
Fin, discret;0;2;1;4;0;0;0;1;1;0;9
Amertume;1;1;0;0;0;0;0;1;2;3;8
Floral;0;1;2;0;2;0;0;1;1;1;8
Gras, manque de fraîcheur;0;0;0;0;0;2;2;1;2;1;8
Jaune pâle, clair;1;2;2;0;1;2;0;0;0;0;8
Frais;1;2;2;2;0;0;0;0;0;0;7
Long en bouche, persistant;1;1;1;0;0;0;2;0;1;1;7
Floral, fleurs blanches;2;1;1;0;1;0;0;0;0;1;6
Sec;0;0;0;3;1;0;0;1;1;0;6
Intense, ample;1;0;0;0;0;1;1;0;1;1;5
Miel;0;1;0;0;0;1;1;1;1;0;5
Nez fermé, faible;0;0;0;0;0;3;0;2;0;0;5
Ouvert, expressif;2;0;1;0;0;0;0;1;1;0;5
Bonne expression aromatique;1;1;1;1;0;0;0;0;0;0;4
Goût étranger (cire, pneu);0;0;0;0;0;0;3;0;0;1;4
Goût vert;2;0;2;0;0;0;0;0;0;0;4
Iode;1;1;0;1;1;0;0;0;0;0;4
Peu d acidité;1;0;0;1;2;0;0;0;0;0;4
Peu de caractère, d expression;0;0;0;0;0;1;2;0;1;0;4
Sauvignon;1;1;1;0;0;0;0;0;0;1;4
Odeur soutenue;1;0;0;0;2;0;1;0;0;0;4
Somme;28;27;26;23;22;26;26;21;26;20;245
